epoch;loss
0;5.351466178894043
1;4.282492637634277
2;3.986593246459961
3;3.701556444168091
4;3.5550804138183594
5;3.4775192737579346
6;3.4320461750030518
7;3.3984580039978027
8;3.362560987472534
9;3.33308482170105
10;3.297656297683716
11;3.2683303356170654
12;3.2405154705047607
13;3.200864791870117
14;3.1687140464782715
15;3.143230438232422
16;3.106229066848755
17;3.0721824169158936
18;3.0425400733947754
19;3.015641689300537
